"Radicado Inicial","Fecha Ingreso","Nombre Entidad Reguladora","Nombre Proyecto","Sector","Fecha salida abogacia","Recomendación SIC y/o Aparte","Norma Regulatoria Definitiva","Acoge Comentarios SIC","Resumen"
"09-111378","2009 Oct 08 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución “Por la cual se dictan normas transitorias sobre el funcionamiento del mercado mayorista de energía”","Minas y Energía","2009 Oct 20 12:00:00 AM","Expresar en la resolución el método para determinar el precio de oferta de una planta hidráulica cuyo embalse se encuentre en un nivel igual o inferior al nivel ENFICC probabilístico.

Dejar el espacio en la tabla que contiene los niveles ENFICC Probabilísticos por embalse para actualizar dichas probabilidades ante un eventual cambio estructural en las condiciones climáticas en Colombia, con el fin de no afectar el proceso de formación de precios de generación de energía sacando del mercado a hidroeléctricas que potencialmente tengan la posibilidad de alcanzar el ENFICC ante nuevas condiciones.","Resolución 137 del 30 de octubre de 2009","SI","A través del proyecto de acto administrativo la Comisión de Regulación de Energía y Gas imparte normas transitorias sobre el funcionamiento del Mercado Mayorista de energía con el fin de asegurar la confiabilidad en el abastecimiento de la demanda. Una vez realizado el estudio la Superintendencia de Industria y Comercio determinó que las disposiciones contenidas en el proyecto no afectan la libre competencia en los mercados del sector energético colombiano. Sin embargo, presentó recomendaciones a la CREG, con respecto a especificar la forma funcional como se determina el precio de oferta de una planta hidráulica cuyo embalse se encuentre en un nivel igual o inferior al nivel ENFICC probabilístico y dejar un espacio para actualizas el nivel ENFICC probabilista ante un eventual cambio estructural en las condiciones climáticas en Colombia."
"09-127314","2009 Nov 10 12:00:00 AM","Superintendencia Financiera de Colombia","Proyecto de Resolución ""Por el cual se actualizan las tablas de Mortalidad de Rentistas Hombres y Mujeres""","Hacienda y Crédito Público","2009 Nov 25 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 1555 del 30 de julio de 2010","N/A","El objeto del proyecto consistió en la actualización de las Tablas de  Mortalidad   de Rentistas Hombres y Mujeres  adoptadas mediante la resolución 0585 del 11 de abril de 1994.  La Superintendencia de industria y Comercio se abstuvo de rendir concepto previo sobre el proyecto de resolución dado que no evidencia incidencia en la libre competencia por cuanto se trata de una medida de carácter general que no discriminaría entre los participantes del mercado."
"09-137238","2009 Dec 02 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se adoptan disposiciones aplicables a las Transacciones Internacionales de Electricidad de Corto Plazo -TIE- entre Colombia y Ecuador, de conformidad con el Régimen Transitorio adoptado por la Decisión CAN 720""","Minas y Energía","2009 Dec 09 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 186 del 18 de diciembre de 2009","N/A","El objetivo del proyecto es ajustar la regulación vigente a las disposiciones de la Decisión 720 de la Comisión de la Comunidad Andina de Naciones a través de la cual se adopta un régimen transitorio sobre transacciones de electricidad, estableciendo unas reglas para los intercambios de electricidad entre Colombia y Ecuador.
En el análisis realizado por la Superintendencia se determinó que el principio de no discriminación en el tratamiento a los agentes en los dos mercados es deseable porque garantiza un nivel similar de confiabilidad y calidad de la electricidad sin importar donde se compre.
El sistema de distribución de las rentas evita crear incentivos para un comportamiento indeseable del propietario del enlace que generaría una asignación arbitraria de renta en los dos mercados.
La circunstancia de que las transacciones internacionales de electricidad de corto plazo estén limitadas únicamente por la capacidad de los enlaces internaciones es una decisión deseable económicamente en atención que garantiza que el suministro de electricidad no puede afectarse por otros factores.
Finalmente, la SIC consideró que la propuesta no afecta la libre competencia en los mercados eléctricos del país.  En realidad, estimula la eficiencia bajo la condición de que existan mercados competitivos, además de garantizar el suministro en el mercado nacional."
"09-137061","2009 Dec 01 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se modifica la Resolución CREG- 127 de 2009"".","Minas y Energía","2009 Dec 09 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 159 del 3 de diciembre de 2009","N/A","La Superintendencia de Industria y Comercio analizó el proyecto acerca de la divulgación de la información de las ofertas de precio en el mercado mayorista de electricidad determinando que no afecta indebidamente la competencia.  Si bien la divulgación de la información en el mercado mayorista sobre precios de oferta implica suprimir temporalmente una medida que promueve la competencia, facilitar el abastecimiento de electricidad ante un riesgo de racionamiento constituye uno de los objetivos principales de la intervención del Estado en el sector. Se considera que existen otros instrumentos para defender la competencia en el sector durante ese periodo."
"09-148201","2009 Dec 28 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se modifica la Resolución CREG- 033 de 2007, pero se resuelve modificar el art. 12 de la Resolución CREG- 119 de 1998""","Minas y Energía","2009 Dec 30 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 190 de 2009 del 31 de diciembre de 2009","N/A","El objetivo del proyecto consistió en modificar la resolución CREG 119 de 1998 en relación con la participación en el mercado mayorista de electricidad de los autogeneradores, cogeneradores y plantas menores con el fin de aumentar la disponibilidad de energía eléctrica ante situaciones de racionamiento.
La Superintendencia no presentó observaciones frente al proyecto."
"09-127417","2009 Nov 10 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se establecen reglas sobre la integración vertical en las actividades del servicio domiciliario de Gas Licuado de Petróleo GLP""","Minas y Energía","2009 Dec 31 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 126 del 5 de agosto de 2010 - modificada 79 - 2011*","N/A","El proyecto busca establecer reglas sobre integración vertical entre el transporte y las actividades de comercialización tanto mayorista como minorista y distribución de gas licuado del petróleo GLP. La Superintendencia no tiene observaciones sobre el proyecto."
"09-144273","2009 Dec 17 12:00:00 AM","Comisión de Regulación de Comunicaciones","Proyecto de Resolución ""Por la cual se establece las condiciones para la implementación y operación de la portabilidad numérica en Colombia"".","TIC","2010 Jan 05 12:00:00 AM","Incluir un párrafo como inciso segundo del artículo 32° del proyecto:

“Se incluirá en el orden del día de la presentación del informe que la Superintendencia de Industria y Comercio presentará semestralmente a la CRC, con el diagnóstico de las peticiones o quejas interpuestas por los usuarios en materia de portabilidad numérica. Sin perjuicio de lo anterior, la CRC podrá solicitar dicho informe cuando lo considere necesario.”

Modificar el numeral 8.6 en el siguiente sentido:

“8.6 Suministrar en todo momento a los Suscriptores y a los Usuarios a través de las oficinas de atención al cliente, sitios de internet y líneas de atención telefónica, información clara, veraz, suficiente, precisa y oportuna sobre el derecho de acceder a la Portabilidad Numérica.”

Se estudie la viabilidad de introducir la siguiente modificación al artículo 42º del proyecto de resolución, para una mayor divulgación del proceso de portabilidad numérica y considerando que la factura es uno de los medios de contacto más importantes entre los usuarios y las empresas:

“ARTÍCULO 42°.- DEBER DE DIVULGACIÓN. Durante los primeros seis (6) meses contados a partir de la Fecha de implementación de la Portabilidad Numérica, los Proveedores de Redes y Servicios de Telecomunicaciones que sean asignatarios de numeración, deberán divulgar de forma amplia la posibilidad del Suscriptor o Usuario de portar su número, para lo cual deberán emplear medios masivos de comunicación, incluyendo televisión, radio y diarios de circulación nacional, e incluir por una sola vez en las facturas correspondientes a los ciclos de facturación que comiencen con posterioridad a la Fecha de implementación de la Portabilidad Numérica, un texto alusivo a este derecho.”

Crear mecanismos para que los usuarios que deseen enviar mensajes electrónicos de texto (SMS) originados desde los sitios de internet de los diferentes operadores, puedan identificar fácilmente a qué proveedor está suscrito el abonado de destino

Modificar la cláusula sobre “Obligaciones del suscriptor y/o usuario” del Anexo II de la Resolución CRT 1732 de 2007, incluyendo el derecho de los usuarios a la portabilidad numérica.","Resolución 2355 del 29 de enero de 2010","Parcialmente","El objeto del proyecto presentado por la CRC radicó en establecer condiciones para la implementación y operación de la portabilidad numérica para Telefonía Pública Básica Conmutada Local (TPBCL) en Colombia.

La Superintendencia valoro positivamente la medida, por cuanto fomenta la sana competencia en el sector.  Igualmente, como quiera que la Superintencia de Industria y Comercio es la autoridad de vigilancia y control que vela por la protección de los derechos de los suscriptores y usuarios de los servicios de telecomunicaciones, presento recomendaciones a la CRC."
"10-002016","2010 Jan 12 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se adopta de manera transitoria medidas sanitarias para incentivar el uso eficiente y de ahorro de agua y desestimular su uso excesivo""","Vivienda, Ciudad y Territorio","2010 Jan 15 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 493 del 25 de febrero de 2010","N/A","El objeto del proyecto presentado por la CRA tuvo como finalidad adoptar de manera transitoria medidas para incentivar el uso eficiente y de ahorro del agua y desestimular el uso excesivo.
La Superintendencia manifestó que a la luz de la información remitida por la CRA no tenia observaciones sobre el proyecto."
"10-003402","2010 Jan 15 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se adoptan de manera transitoria medidas tarifarias para incentivar el uso eficiente y de ahorro del agua y desestimular su uso excesivo""","Vivienda, Ciudad y Territorio","2010 Jan 15 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 493 del 25 de febrero de 2010","N/A","El objeto del proyecto presentado por la CRA tuvo como finalidad adoptar de manera transitoria medidas para incentivar el uso eficiente y de ahorro del agua y desestimular el uso excesivo.  Su aplicación estaba dirigida a las personas prestadores del servicio público domiciliario de acueducto que presten el servicio en zonas en las cuales el Instituto Nacional de Hidrología y Meteorología (IDEAM) determinara que se presentan situaciones ambientales de riesgo por disminución en los niveles de precipitación ocasionados por fenómenos de variabilidad climática y mientras permanezca el riesgo.

La Superintendencia manifestó que a la luz de la información remitida por la CRA no tenia observaciones sobre el proyecto.g"
"10-002934","2010 Jan 14 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se establece la metodología tarifaria de los servicios públicos domiciliarios de acueducto y alcantarillado para prestadores que atiendan menos de 2,500 suscriptores, y se da cumplimiento a lo previsto por el numeral 11.4 del artículo 11 del Decreto 2696 de 2004""","Vivienda, Ciudad y Territorio","2010 Feb 01 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","No fue expedida","N/A","La CRA presentó a la Superintendencia cuatro proyectos de regulación que tenían como finalidad establecer la metodología tarifaria para los prestadores de los servicios de acueducto y alcantarillado tanto los que atienden menos de 2.500 usuarios como los que superan ese límite, modificar la metodología para calificar los prestadores de estos servicios al igual que el del aseo de acuerdo con un nivel de riesgo y modificar los niveles de pérdidas aceptables de agua para el cálculo de los costos de prestación de los servicios de acueducto y alcantarillado.

La Superintendencia manifestó que no tenia observaciones sobre los proyectos."
"10-002934","2010 Jan 14 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","""Proyecto de ResoluciónPor la cual se modifica el artículo 2.4.3.14 de la resolución CRA 151 de 2001, y se inicia el proceso de discusión directa con los usuarios y agentes del sector"".","Vivienda, Ciudad y Territorio","2010 Feb 01 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","No fue expedida","N/A","La CRA presentó a la Superintendencia cuatro proyectos de regulación que tenían como finalidad establecer la metodología tarifaria para los prestadores de los servicios de acueducto y alcantarillado tanto los que atienden menos de 2.500 usuarios como los que superan ese límite, modificar la metodología para calificar los prestadores de estos servicios al igual que el del aseo de acuerdo con un nivel de riesgo y modificar los niveles de pérdidas aceptables de agua para el cálculo de los costos de prestación de los servicios de acueducto y alcantarillado.

La Superintendencia manifestó que no tenia observaciones sobre los proyectos."
"10-002934","2010 Jan 14 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se modifica el numeral 1.1 del anexo 2 de la resolución CRA 315 de 2005, y se inicia el proceso de discusión directa con los usuarios y agentes del sector","Vivienda, Ciudad y Territorio","2010 Feb 01 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","No fue expedida","N/A","La CRA presentó a la Superintendencia cuatro proyectos de regulación que tenían como finalidad establecer la metodología tarifaria para los prestadores de los servicios de acueducto y alcantarillado tanto los que atienden menos de 2.500 usuarios como los que superan ese límite, modificar la metodología para calificar los prestadores de estos servicios al igual que el del aseo de acuerdo con un nivel de riesgo y modificar los niveles de pérdidas aceptables de agua para el cálculo de los costos de prestación de los servicios de acueducto y alcantarillado.

La Superintendencia manifestó que no tenia observaciones sobre los proyectos."
"10-002934","2010 Jan 14 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se establece la metodología tarifaria para los prestadores de los servicios públicos domiciliarios de acueducto y alcantarillado que atiendan 2500 o más suscriptores, y se da cumplimiento a lo previsto por el numeral 11,4 del artículo 11 del Decreto 2696 de 2004"".","Vivienda, Ciudad y Territorio","2010 Feb 01 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","No fue expedida","N/A","La CRA presentó a la Superintendencia cuatro proyectos de regulación que tenían como finalidad establecer la metodología tarifaria para los prestadores de los servicios de acueducto y alcantarillado tanto los que atienden menos de 2.500 usuarios como los que superan ese límite, modificar la metodología para calificar los prestadores de estos servicios al igual que el del aseo de acuerdo con un nivel de riesgo y modificar los niveles de pérdidas aceptables de agua para el cálculo de los costos de prestación de los servicios de acueducto y alcantarillado.

La Superintendencia manifestó que no tenia observaciones sobre los proyectos."
"10-05440","2010 Jan 21 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución “Por la cual se modifica la Resolución CREG-137 de 2009”","Minas y Energía","2010 Feb 10 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 36 del 2 de marzo de 2010","N/A","El objetivo del proyecto consistió en la modificación de la Resolución CREG 137 de 2009 sobre la operación del mercado mayorista de electricidad.  El efecto buscado es modificar las condiciones de precio de oferta de los generadores hidráulicos e incidir sobre la cantidad de energía de origen térmico que debe despacharse primero. La CREG busca que el precio de bolsa de energía refleje más claramente la escasez relativa de agua actual y previsible con el fin de preservar la confiabilidad en el suministro de electricidad.

La Superintendencia en el análisis realizado encontró que el efecto sobre el precio constituía una señal de mercado para que los consumidores puedan evaluar y decidir sobre el nivel racional de consumo de electricidad durante el periodo en el cual se mantengan las condiciones de hidrología que afronta el país.  Por lo tanto, encontró justificada la incidencia sobre la libre competencia que implica el proyecto en el mercado de energía mayorista."
"10-10361","2010 Feb 02 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución “Por la cual se expiden normas sobre funcionamiento del Mercado de Energía Mayorista relacionadas con precios para liquidar la remuneración en casos de inflexibilidades de plantas térmicas y modificar parcialmente la resolución CREG 024 de 1995""","Minas y Energía","2010 Feb 12 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 011 del 12 de febrero de 2010","N/A","El objetivo del proyecto fue la expedición de normas sobre el funcionamiento del mercado de energía mayorista relacionadas con precios para liquidar la generación inflexible de plantas térmica y modificar parcialmente la resolución CREG 024 de 1995.  La regulación busca que en los periodos horarios en los cuales una planta térmica asignada en el despacho ideal es inflexible, la energía generada se remunere al mayor valor entre el precio de reconciliación positiva, sin incluir costos de arranque y parada, y el precio de bolsa. Se busca que la función del precio bolsa refleje el mecanismo requerido para estimular la generación térmica.

La Superintendencia manifestó que a la luz de la información suministrada por la CREG no tenía observaciones sobre el proyecto."
"10-10361","2010 Feb 03 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución “Por la cual se modifican parcialmente las resoluciones CREG 034 de 2001 y 137 de 2009""","Minas y Energía","2010 Feb 12 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 036 del 2 de marzo de 2010","N/A","El objetivo del proyecto regulatorio consistió en la modificación parcial de las resoluciones CREG 034 de 2001 y 137 de 2009 para armonizar la valoración del costo de oportunidad del recurso hídrico con la metodología para calcular el precio de reconciliación positiva establecido en tales resoluciones.   Con tal fin estableció que el precio de reconciliación positiva de los generadores hidráulicos será igual al precio de bolsa de la hora correspondiente. A su vez, cuando a una planta hidráulica se le aplique el nivel de referencia previstos en la resolución 137 de 2009, el precio de reconciliación positiva de esa planta para todas las horas del día será igual al nivel de referencia establecido en esa resolución.

También establece las condiciones para aplicar los niveles de referencia previstos en la resolución 137 de 2009 cuando el análisis energético haga posible identificar una degradación de confiabilidad del sistema de reducción de la generación térmica o de la energía embalsada.

La Superintendencia manifestó que a la luz de la información suministrada por la CREG no tenía observaciones sobre el proyecto."
"10-21460","2010 Feb 19 12:00:00 AM","Unidad Administrativa Especial de la Aeronáutica Civil","Proyecto de Resolución ""Por la cual se dictan normas sobre acceso a las tarifas aéreas por parte de las agencias de viajes""","Transporte","2010 Feb 23 12:00:00 AM","Resulta aconsejable contar con cifras de mercado de las cuales sea posible inferir tanto la proporción de tarifas vigentes que no están disponibles para las agencias de viajes, como la participación directa que las ventas directas tienen frente a las ventas totales de tiquetes en Colombia","Resolución 890 del 23 de febrero de 2010","NO","El objetivo del proyecto consistió en decretar normas sobre acceso a las tarifas aéreas por parte de las Agencias de Viaje.

Frente a la obligación que tendrían las aerolíneas de dar acceso a la totalidad de las tarifas que ofrecen en sus ventas directas a las agencias de viajes e intermediarios, la Superintendencia considero que la medida aporta transparencia en el mercado y propende por la igualdad de condiciones en la venta de tiquetes aéreos para cada uno de los agentes involucrados en este tipo de transacciones. Además, brindaría al consumidor nuevas opciones de acceso en la compra de tiquetes aéreos a través de las agencias de viaje.
Sin embargo, considera la Superintendencia que debe considerarse que podría haber un impacto en la evolución del precio de los tiquetes aéreos, como consecuencia de la garantía de acceso a la totalidad de las tarifas ofrecidas por las aerolíneas por parte de las agencias de viajes a través de los diferentes sistemas GDS e internet. 

Es factible examinar que en la medida en que puede disminuir la cuota de participación de mercado para las aerolíneas en la venta directa de tiquetes al usuario final, esto conlleve a una reducción en el ingreso por concepto de tarifa administrativa que motive a las aerolíneas a compensarlo a través de la tarifa del tiquete.

Finalmente, la Superintencia recomendó contar con cifras de mercado de las cuales sea posible inferir tanto la proporción de tarifas vigentes que no están disponibles para las agencias de viaje, como la participación que las ventas directas tienen frente a las ventas totales de tiquetes en Colombia."
"10-57483","2010 May 13 12:00:00 AM","Comisión de Regulación de Comunicaciones","Proyecto de Resolución ""Por la cual se determina la tarifa mínima de los servicios de mensajería expresa que tengan como fin la distribución de objetos postales masivos y su interconexión entre operadores, y se dictan otras disposiciones""","TIC","2010 Jun 02 12:00:00 AM","La asignación de un precio piso puede llevar a que empresas no eficientes se mantengan en el mercado.

Se sugiere un seguimiento continuo por parte de la CRC con el fin de mantener estándares de calidad en el servicio postal.","Resolución 2567 del 29 de junio de 2010","N/A","El proyecto regulatorio tiene como finalidad adoptar la tarifa mínima de servicios de mensajería expresa que tengan como fin la distribución de objetos postales masivos y su interconexión entre operadores.

En el análisis realizado por la Superintendencia se determino que la estructura tarifaria establecida se ajusta a las condiciones del momento del mercado colombiano, dado que excluye de este cálculo todas las actividades que efectúen los operadores de mensajería expresa diferentes a la recepción, clasificación, transporte y entrega de los objetos postales.

La Superintencia determino que la estructura tarifaria establecida se ajusta a las condiciones actuales del mercado colombiano, y se ciñe a lo establecido en la Ley 1369 de 2009. Adicionalmente, considero tener en cuenta que la asignación de un precio piso puede llevar a que empresas no eficientes se mantengan en el mercado, por lo que recomendó a la CRC realizar un seguimiento continuo con el fin de mantener estándares de calidad en el servicio postal."
"10-57173","2010 May 13 12:00:00 AM","Comisión de Regulación de Comunicaciones","Proyecto de Resolución ""Por la cual se establece una medida de monitoreo respecto del mercado mayorista de terminación de llamadas de larga distancia internacional y se modifican los artículos 13.2.3.1 de la Resolución CRT 087 de 1997, 39 de la Resolución CRT 1732 de 2007, así como la Resolución CRT 1940 de 2008""","TIC","2010 Jun 09 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 2585 del 30 de julio de 2010","N/A","El proyecto presentado por la CRC tiene como finalidad establecer una medida de monitoreo respecto del mercado mayorista de terminación de llamadas de larga distancia internacional.

Una vez analizadas las condiciones bajo las cuales funciona el mercado mayorista de terminación de LDI, la Superintendencia determino la pertinencia de establecer una medida regulatoria de seguimiento de su comportamiento, que permita monitorear las condiciones de competencia del mercado, para logar un adecuado funcionamiento que beneficie tanto a los proveedores como a los usuarios.  De igual modo, las medidas aclaratorias adoptadas en cuanto al mercado minorista de voz saliente son apropiadas para asegurar la libertad de selección de operadores y servicios de los usuarios."
"10-79004","2010 Jun 03 12:00:00 AM","Ministerio de Ambiente y Desarrollo Sostenible","Proyecto de Decreto “Por el cual se reglamenta la prestación del servicio público de aseo y de sus actividades complementarias”","Ambiente y Desarrollo Sostenible","2010 Jun 30 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Decreto 2981 del 20 de diciembre de 2013","N/A","El objetivo del proyecto radicado por el DNP para concepto de abogacía tenía como finalidad el establecimiento de claros criterios técnicos, jurídicos y administrativos de funcionamiento, para que las empresas prestadoras del servicio garanticen seguridad y confiabilidad en la actividad.  En el mismo se establecían las siguientes disposiciones: i) modificaciones en cuanto a características técnicas de los vehículos; ii) obligaciones comerciales, administrativas y técnicas para los prestadores del servicio y iii) la libertad para los usuarios de seleccionar al operador de su preferencia, estableciendo el procedimiento para la vinculación y desvinculación de este.

Finalmente, la Superintencia no presento objeciones en lo que tiene que ver con eventuales afectaciones a la libre competencia."
"10-065282","2010 May 31 12:00:00 AM","Ministerio de Comercio, Industria y Turismo","Proyecto de Resolución ""Por la cual se expide el reglamento técnico aplicable a las Pilas Zinc-Carbón y Alcalinas que se importen, fabriquen o comercialicen en Colombia""","Comercio, Industria y Turismo","2010 Jun 29 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 172 del 23 de enero de 2012, derogada por la Resolución 721 del 16 de abril de 2018","N/A","El objetivo del proyecto regulatorio consistió en la adopción de un Reglamento Técnico aplicable a Pilas Zinc-Carbón y Alcalinas que se importen, fabriquen o comercialicen en Colombia. Las pilas o baterías que contienen metales pesados son altamente contaminantes y su restricción se ha constituido en un estándar mundial.

La Superintencia consideró que la expedición de reglamentos técnicos, en este caso relacionado con el producto “pilas”, puede constituir una restricción a la libertad económica de los agentes que partición en este mercado, así como un obstáculo técnico al comercio para los agentes internacionales que buscan comercializar sus productos en Colombia.

Sin embargo, determinó que a pesar de que la medida puede considerarse como una barrera al comercio, el proyecto señala límites a los componentes contaminantes con el fin de proteger la biodiversidad y el medio ambiente en el país."
"10-065760","2010 Jun 01 12:00:00 AM","Comisión Nacional de Televisión","Proyecto de Acuerdo ""Por medio del cual se reglamentan las condiciones de acceso y uso de infraestructura de redes públicas y privadas de televisión radiodifundida""","TIC","2010 Jun 30 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Derogada","N/A","El objetivo del proyecto regulatorio informado a la Superintendencia por la CNTV tiene como objetivo adoptar un Acuerdo para reglamentar las condiciones de acceso y uso de infraestructura de redes públicas y privadas de televisión radiodifundida.

Una vez revisado el proyecto por la Superintencia y aunque la propuesta regulatoria busca introducir competencia en el mercado de la televisión, se formularon dos recomendaciones con relación al tema de la remuneración con el fin de evitar i) que la discrecionalidad en la fijación del valor de acceso se traduzca en la posible fijación de un precio ineficiente y ii) la violación al principio de no discriminación de los diferentes agentes participantes en el mercado.  

También se recomendó eliminar el artículo 6° porque podría exceder las facultades de la CNTV, al asignar a las SIC funciones que sólo pueden ser establecidas por la autoridad competente para el efecto, por el Presidente de la República o por el Congreso, mediante Decreto o Ley, respectivamente."
"10-81286","2010 Jun 22 12:00:00 AM","Ministerio de Minas y Energía","Proyecto de Resolución ""Por la cual se reglamenta el transporte de crudos por oleoducto"".","Minas y Energía","2010 Jul 06 12:00:00 AM","Incorporar algún mecanismo para que la Dirección de Hidrocarburos pueda conocer y verificar la adecuación de los manuales del transportador a las disposiciones vigentes.

Aclarar el alcance del concepto “separación de actividades” el cual debe entenderse como elemento esencial para garantizar el acceso abierto al sistema de transporte de crudos, dado que la actividad de transporte es independiente de las actividades de exploración, explotación, refinación, comercialización y distribución e incluye la posibilidad de que la Dirección de Hidrocarburos pueda exigir auditorias sobre la actividad de transporte.","181258 del 14 de julio de 2010","Parcialmente","El objetivo del proyecto consiste en garantizar el acceso de terceros a la infraestructura de transporte de crudos y solucionar problemas de asimetría de información. Las medidas regulatorias están encaminadas a introducir competencia en el mercado en dos vías: la primera dirigida a regular el acceso a una infraestructura esencial con características de monopolio natural (la rd de transporte de oleoductos) y, la segunda, garantizando la información mínima.

En el análisis adelantado por la Superintendencia se considero que se abre espacio para una mayor competencia en el mercado al permitir la utilización eficiente de la capacidad de transporte por parte de los diferentes agentes de la cadena y otorgar mayor transparencia.

El artículo 24 del proyecto se refiere a la separación de actividades, la cual debe entenderse como elemento esencial para garantizar el acceso abierto al sistema de transporte de crudos.  Al respecto, la Autoridad de Competencia recomienda aclarar el alcance del concepto ""separación de actividades"" de manera que se pueda transmitir total seguridad jurídica a los afectados con la norma."
"10-047785","2010 Apr 23 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se modifica el artículo 3º de la Resolución CREG-042 de 1999""","Minas y Energía","2010 Jul 07 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 101 del 1 de julio de 2010","N/A","El proyecto de regulación tiene por objeto modificar la metodología establecida para calcular los límites que permiten definir si le es posible a una empresa de generación de energía eléctrica incrementar o no su participación en el mercado de esta actividad mediante adquisiciones, fusiones o integraciones empresariales.

Observó la Superintendencia que la medida propuesta que pretende regular los límites a la concentración de la propiedad fomentando la participación de más agentes en el mercado de generación de energía eléctrica, constituye un mecanismo adecuado para cumplir con la finalidad de promoción de la libre competencia."
"10-064991","2010 May 31 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se ordena hacer público un proyecto de resolución de carácter general que pretende adoptar la CREG Por la cual se establece el Reglamento de Comercialización Mayorista de Gas Licuado de Petróleo"".","Minas y Energía","2010 Jul 09 12:00:00 AM","Frente a la metodología de asignación por prorrateo establecida para las ofertas públicas en los artículos 13 y 14 del proyecto, consideramos que podría aclararse un poco más, evaluando la posibilidad de contar con criterios adicionales al de la demanda histórica para realizar el prorrateo, teniendo en cuenta parámetros como la necesidad real de combustible para cada uno de los agentes en un momento dado.

Teniendo en cuenta la necesidad de garantizar el suministro de GLP al mercado regulado, consideramos conveniente adoptar criterios de asignación preferencial para distribuidores que atiendan usuarios residenciales, dado que con ello se garantiza el suministro al sector más débil de la demanda.

Resulta importante sugerir, en relación con el contrato de suministro, que se haga expresa la referencia al artículo 133 de la Ley de 1994, sobre abuso de posición dominante contractual.","Resolución 053 del 7 de abril de 2011","Parcialmente","A través del proyecto regulatorio la CREG se propone adoptar un reglamento de comercialización del mercado mayorista de gas licuado de petróleo (GLP).

La Superintencia consideró que la propuesta no afecta la competencia, pues recoge normas anteriores y establece mecanismos que buscan garantizar la participación de los consumidores y la transparencia de la información relevante para los agentes que operan en este mercado, incluyendo de manera expresa la actividad de importación de GLP.
Sin embargo, frente a la metodología de asignación por prorrateo establecida para las ofertas públicas la Superintendencia considera que podría aclararse un poco más, evaluando la posibilidad de contar con criterios adicionales al de la demanda histórica para realizar el prorrateo, teniendo en cuenta parámetros como la necesidad real de combustible para cada uno de los agentes en un momento determinado.  Asu vez, se recomienda adoptar criterios de asignación preferencial para distribuidores que atiendan usuarios residenciales, ya que con ello se garantiza el suministro al sector más débil de la demanda.
Finalmente, se sugiere, en relación con el contrato de suministro, se haga expresa referencia al artículo 133 de la Ley 142 de 1994, sobre abuso de posición dominante contractual."
