"No","MES","TRÁMITE","EMPRESAS","RADICACIÓN","FECHA ENTRADA","FECHA SALIDA","ACTO ADMINISTRATIVO (vínculo)","DECISIÓN"
"47","Mayo","Notificación","SierraCol Energy Limited y Cinco Ranch Petroleum Colombia Inc.","26-169340","2026 Apr 27 12:00:00 AM","2026 May 11 12:00:00 AM","Archivo adjunto","Notificada"
"48","Mayo","Pre-evaluación","GRUPO NUTRESA S.A. y INMACULADA GUADALUPE Y AMIGOS S.A.S.","25-385764","2025 Oct 14 12:00:00 AM","2026 May 11 12:00:00 AM","Archivo adjunto","Aprobada"
"49","Mayo","Notificación","Cencosud Col Shoppings S.A.S. y Patrimonio Autónomo Estrategias Inmobiliarias.","26-115960","2026 Mar 26 12:00:00 AM","2026 May 12 12:00:00 AM","Archivo adjunto","Notificada"
"50","Mayo","Notificación","(i) Avidanti S.A.S.; (ii) Organización Clínica General del Norte S.A.S.; (iii) EVE Distribuciones S.A.S.; (iv) Bienestar IPS S.A.S.; y (v) otros, y, por el otro lado, (a) Colmédica Medicina Prepagada S.A.; (b) Aliansalud EPS S.A.;  c) Unidad Médica y de Diagnóstico S.A.S.; (d) Administradora Country S.A.S.; (e) Administradora La Colina S.A.S.; (f) Country Scan S.A.S.; (g) Resonancia Magnética del Country S.A.S.; (h) Resonancia Magnética de Colombia S.A.S.; y (i) Resonancia Magnética y Tac de la Sabana Ltda.","26-171053","2026 Apr 28 12:00:00 AM","2026 May 14 12:00:00 AM","Archivo adjunto","Notificada"
"51","Mayo","Notificación","Paramount Skydance Corporation y Warner Bros Discovery, Inc.","26-57321","2026 Feb 17 12:00:00 AM","2026 May 15 12:00:00 AM","Archivo adjunto","Oficio de respuesta con observaciones"
"52","Mayo","Pre-evaluación","Organización Terpel S.A. - Renta Urbana S.A.S. y otros.","26-81998","2026 Mar 05 12:00:00 AM","2026 May 20 12:00:00 AM","Archivo adjunto","Aprobada"
"53","Mayo","Notificación","ABRDN Global Sustainable Infrastructure Partners IV LP., y VGMobility Colombia S.A.S.","26-153266","2026 Apr 16 12:00:00 AM","2026 May 22 12:00:00 AM","Archivo adjunto","Notificada"
"54","Mayo","Notificación","PROMOTORA APARTAMENTOS DANN S.A.S. y PROMOTORA APARTAMENTOS DANN CARLTON CALLE 94 S.A.S.","26-161632","2026 Apr 22 12:00:00 AM","2026 May 28 12:00:00 AM","Archivo adjunto","No es integración que deba ser informada"
"55","Mayo","Notificación","Volkswagen Aktiengesellschaft y Europcar Mobility Group S.A.","26-201089","2026 May 15 12:00:00 AM","2026 May 29 12:00:00 AM","Archivo adjunto","Notificada"
"56","Junio","Pre-evaluación","Organización Terpel S.A. - Energy Strategies S.A.S.","26-139259","2026 Apr 08 12:00:00 AM","2026 Jun 09 12:00:00 AM","Archivo adjunto","Aprobada"
