"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44378 - HATONUEVO","SINCROELECTRI DE LA GUAJIRA S.A.S.","20.180.904","20.220.331","674.655.717","G4520 ** Mantenimiento y reparacion de vehiculos automotores","G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores","16"
"44035 - ALBANIA","SOCIEDAD SERVICIOS & TRANSPORTES MUSHAISA S.A.S","20.180.907","20.220.418","894.500.000","G4731 ** Comercio al por menor de combustible para automotores","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","16"
"44650 - SAN JUAN DEL CESAR","MAKUSHAMA SALUD IPS .S.A.S.","20.180.925","20.220.331","1.613.166.713","Q8710 ** Actividades de atencion residencial medicalizada de tipo general","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44001 - RIOHACHA","COMERCIALIZADORA DE CARNES Y QUESO S.A.S","20.181.018","20.220.331","1.488.871.666","G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados","C1011 ** Procesamiento y conservacion de carne y productos carnicos","16"
"44001 - RIOHACHA","IPS VITAL SALUD GUAJIRA S.A.S","20.181.026","20.220.711","765.365.414","Q8610 ** Actividades de hospitales y clinicas  con internacion","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44001 - RIOHACHA","A&Y TRANSPORTE Y SUMINISTROS S.A.S.","20.181.102","20.220.505","536.275.303","H4923 ** Transporte de carga por carretera","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","MEDICOS ESPECIALISTAS E IMAGEN DENTAL S.A.S","20.181.107","20.220.331","644.984.625","Q8622 ** Actividades de la practica odontologica","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44090 - DIBULLA","OCEANS S.M  S.A.S ZOMAC","20.181.115","20.220.331","1.282.533.000","F4111 ** Construccion de edificios residenciales",,"16"
"44430 - MAICAO","LOP S.A.S","20.181.213","20.220.331","1.177.533.404","H4923 ** Transporte de carga por carretera","H5229 ** Otras actividades complementarias al transporte","16"
"44001 - RIOHACHA","AGREGADOS SAN JUDAS S.A.S","20.181.220","20.220.310","927.100.000","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion",,"16"
"44078 - BARRANCAS","AGA CONSTRUCTORA SAS","20.190.123","20.220.316","2.581.705.000","F4210 ** Construccion de carreteras y vias de ferrocarril","N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.","16"
"44098 - DISTRACCION","EMPRESA REGIONAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO Y ALCANTARILLADO SUR AZUL S.A. E.S.P","20.190.201","20.220.324","783.119.712","E3700 ** Evacuacion y tratamiento de aguas residuales","E3900 ** Actividades de saneamiento ambiental y otros servicios de gestion de desechos","4"
"44090 - DIBULLA","FRANCILIA S.A.S.","20.190.214","20.220.325","1.072.000.000","I5511 ** Alojamiento en hoteles","I5611 ** Expendio a la mesa de comidas preparadas","16"
"44090 - DIBULLA","SANTUARIO NATURAL S.A.S.","20.190.311","20.220.330","521.515.322","I5511 ** Alojamiento en hoteles","I5611 ** Expendio a la mesa de comidas preparadas","16"
"44001 - RIOHACHA","TRINITY BILINGUAL SCHOOL S.A.S","20.190.315","20.210.520","801.499.721","P8512 ** Educacion preescolar",,"16"
"44001 - RIOHACHA","DISTRIBUIDORA BALLENAS S.A.S","20.190.319","20.220.524","1.056.467.087","G4731 ** Comercio al por menor de combustible para automotores","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","16"
"44001 - RIOHACHA","CONSTRUCTORA E INVERSIONES VS S.A.S.","20.190.410","20.220.222","785.680.412","F4290 ** Construccion de otras obras de ingenieria civil","H4923 ** Transporte de carga por carretera","16"
"44001 - RIOHACHA","CLINICA DE SALUD MENTAL MEDICAR S A S","20.190.412","20.220.401","2.883.102.780","Q8699 ** Otras actividades de atencion de la salud humana","Q8691 ** Actividades de apoyo diagnostico","16"
"44430 - MAICAO","FAJODI ASOCIADOS S.A.S","20.190.417","20.220.510","839.620.000","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion",,"16"
"44847 - URIBIA","DAHEN INVERSIONES CONSTRUCTORES Y CONSULTORES S A S","20.190.423","20.220.311","591.242.672","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44430 - MAICAO","COMERCIALIZADORA DISTRICOMER S.A.S","20.190.423","20.220.325","2.017.550.000","G4642 ** Comercio al por mayor de prendas de vestir","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","16"
"44001 - RIOHACHA","NEUROINTENSIVOS DE COLOMBIA S.A.S ZOMAC","20.190.508","20.220.429","761.900.582","Q8621 ** Actividades de la practica medica  sin internacion","Q8692 ** Actividades de apoyo terapeutico","16"
"44430 - MAICAO","CEMENTOS ORIENTE S.A.S ZOMAC","20.190.509","20.220.331","4.182.713.666","M7010 ** Actividades de administracion empresarial","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44001 - RIOHACHA","MARINEMOTORS S.A.S","20.190.509","20.220.322","1.257.731.973","G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios","G4762 ** Comercio al por menor de articulos deportivos  en establecimientos especializados","16"
"44279 - FONSECA","COMPAÑIA DE INVERSIONES ROSO S.A.S. ZOMAC","20.190.520","20.220.126","558.925.202","C1051 ** Elaboracion de productos de molineria","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44001 - RIOHACHA","IGUARAN QUIJADA MIGUEL ALEJANDRO","20.190.611","20.201.010","1.152.628.240","G4731 ** Comercio al por menor de combustible para automotores","M7110 ** Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica","1"
"44001 - RIOHACHA","EL MANANTIAL REPRESENTACIONES S.A.S.","20.190.725","20.220.411","4.809.715.000","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","N8292 ** Actividades de envase y empaque","16"
"44001 - RIOHACHA","COMERCIAL DE ALIMENTOS LA GUAJIRA S A S","20.190.725","20.220.201","3.105.839.000","G4631 ** Comercio al por mayor de productos alimenticios","G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco","16"
"44001 - RIOHACHA","GESTORA COMERCIAL EL LITORAL S A S","20.190.725","20.220.411","552.930.000","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco","16"
"44001 - RIOHACHA","OFRAV S.A.S","20.190.802","20.220.406","725.471.518","F4290 ** Construccion de otras obras de ingenieria civil","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44001 - RIOHACHA","CLICK 360 S.A.S","20.190.805","20.220.324","955.764.398","M7310 ** Publicidad","M7410 ** Actividades especializadas de diseño","16"
"44430 - MAICAO","PERFUMERIA CADIWA S.A.S","20.190.925","20.210.624","595.581.000","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44279 - FONSECA","RCF SERVICIOS  SUMINISTROS & CATERING S.A.S. ZOMAC","20.191.001","20.220.628","1.245.727.262","I5621 ** Catering para eventos","I5629 ** Actividades de otros servicios de comidas","16"
"44430 - MAICAO","LDCA SAS ZOMAC","20.191.010","20.220.331","4.485.279.792","C2221 ** Fabricacion de formas basicas de plastico","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44430 - MAICAO","MAICO S.A.S ZOMAC","20.191.017","20.220.324","1.440.913.314","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","G4610 ** Comercio al por mayor a cambio de una retribucion o por contrata","16"
"44430 - MAICAO","CONSTRUCTODO DE LA GUAJIRA S.A.S","20.191.018","20.220.210","2.565.801.092","B0811 ** Extraccion de piedra  arena  arcillas comunes  yeso y anhidrita","B0990 ** Actividades de apoyo para otras actividades de explotacion de minas y canteras","16"
"44279 - FONSECA","EMPAQUETADORA Y COMERCIALIZADORA LUCIANA S.A.S ZOMAC","20.191.022","20.220.317","1.369.276.000","G4631 ** Comercio al por mayor de productos alimenticios","G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados","16"
"44001 - RIOHACHA","CLINIVIDA Y SALUD IPS SAS","20.191.029","20.220.405","6.887.667.809","Q8610 ** Actividades de hospitales y clinicas  con internacion","Q8691 ** Actividades de apoyo diagnostico","16"
"44001 - RIOHACHA","DAZA GNECCO JOSE JAIME","20.191.121","20.220.630","2.707.337.729","F4112 ** Construccion de edificios no residenciales","F4210 ** Construccion de carreteras y vias de ferrocarril","1"
"44430 - MAICAO","SUMINISTRO Y DOTACIONES LA ROCA S.A.S.","20.191.205","20.220.401","544.735.690","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44001 - RIOHACHA","FERRELAMINA DE LA GUAJIRA S.A.S","20.191.209","20.220.324","675.595.519","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","C2599 ** Fabricacion de otros productos elaborados de metal n.c.p.","16"
"44001 - RIOHACHA","OPERACIONES Y MONTAJES DE LA GUAJIRA S.A.S. ZESE","20.191.211","20.220.331","3.310.368.924","B0811 ** Extraccion de piedra  arena  arcillas comunes  yeso y anhidrita","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44279 - FONSECA","INVERSIONES CCB DEL CARIBE SAS ZOMAC","20.200.114","20.220.406","2.270.641.000","F4290 ** Construccion de otras obras de ingenieria civil","M7111 ** Actividades de arquitectura","16"
"44001 - RIOHACHA","BRITO MENDOZA ADALCIMENES FRANCISCO","20.200.115","20.220.420","711.470.863","F4210 ** Construccion de carreteras y vias de ferrocarril","F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil","1"
"44430 - MAICAO","UNIDAD DE SALUD MENTAL GUADALUPE SAS","20.200.116","20.220.305","640.846.000","Q8610 ** Actividades de hospitales y clinicas  con internacion","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44001 - RIOHACHA","WCC GROUP SAS","20.200.116","20.220.407","874.217.945","F4112 ** Construccion de edificios no residenciales","F4111 ** Construccion de edificios residenciales","16"
"44279 - FONSECA","ENERGIA Y GESTION COMERCIAL S.A.S.","20.200.123","20.220.330","4.378.000.000","N8211 ** Actividades combinadas de servicios administrativos de oficina","N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.","16"
"44001 - RIOHACHA","ARSOC INVERSIONES Y ASESORIAS S.A.S","20.200.127","20.200.127","500.000.000","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44650 - SAN JUAN DEL CESAR","CONSTRUCTORA Y PROMOTORA  NUEVO HORIZONTE S.A.S.","20.200.127","20.220.331","2.967.881.884","F4290 ** Construccion de otras obras de ingenieria civil","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44001 - RIOHACHA","ITALOGA SAS ZOMAC","20.200.130","20.220.312","1.890.177.000","F4290 ** Construccion de otras obras de ingenieria civil","H4923 ** Transporte de carga por carretera","16"
"44001 - RIOHACHA","CONSTRUKAYROS S.A.S.","20.200.130","20.220.214","547.505.729","F4111 ** Construccion de edificios residenciales","I5511 ** Alojamiento en hoteles","16"
"44430 - MAICAO","PROVISIONES EL TIGRE JT SAS","20.200.131","20.220.323","4.465.203.552","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44847 - URIBIA","PILAR DE VIDA SALUD INTEGRAL S.A.S","20.200.131","20.220.426","894.778.000","Q8621 ** Actividades de la practica medica  sin internacion",,"16"
"44001 - RIOHACHA","AND BUSINESS S A S","20.200.203","20.210.727","551.391.973","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","16"
"44001 - RIOHACHA","INVERSIONES Y PROYECTOS TERRA SAS ZOMAC","20.200.219","20.220.315","2.855.691.000","F4290 ** Construccion de otras obras de ingenieria civil","H4923 ** Transporte de carga por carretera","16"
"44430 - MAICAO","PROYECTOS E INVERSORES DE LA COSTA S.A.S","20.200.227","20.220.331","1.401.296.000","K6421 ** Actividades de las corporaciones financieras","M7020 ** Actividades de consultoria de gestion","16"
"44001 - RIOHACHA","I.P.S SANA Y VIVE S.A.S ZESE","20.200.311","20.220.406","510.592.043","Q8699 ** Otras actividades de atencion de la salud humana","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44874 - VILLANUEVA","FIKA P&V S.A.S ZOMAC","20.200.319","20.220.330","514.785.094","A0126 ** Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos","A0141 ** Cria de ganado bovino y bufalino","16"
"44847 - URIBIA","CORNEJO OCHOA YEZITD","20.200.320","20.220.330","5.795.423.595","F4112 ** Construccion de edificios no residenciales","F4210 ** Construccion de carreteras y vias de ferrocarril","1"
"44001 - RIOHACHA","EL CAMPO VERDE S.A.S.","20.200.320","20.220.407","587.848.352","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","M7500 ** Actividades veterinarias","16"
"44001 - RIOHACHA","DUARTE JUAN LORENZO","20.200.518","20.200.518","18.146.365.000","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","A0322 ** Acuicultura de agua dulce","1"
"44430 - MAICAO","C.M. RESPLANDOR SAS ZESE","20.200.529","20.220.328","842.260.885","G4631 ** Comercio al por mayor de productos alimenticios","N8292 ** Actividades de envase y empaque","16"
"44078 - BARRANCAS","AGROFERRETERIA Y CONTRUCTORA MI CASITA SAS","20.200.618","20.220.421","1.849.377.000","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","16"
"44001 - RIOHACHA","RIO SERVICIOS Y TRANSPORTES DE COLOMBIA SAS","20.200.625","20.210.331","600.000.000","H4921 ** Transporte de pasajeros",,"16"
"44001 - RIOHACHA","MATERIALES EL DESCUENTO S.A.S. ZESE","20.200.702","20.220.420","1.301.585.153","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados",,"16"
"44430 - MAICAO","DEPOSITO NO 1 S.A.S","20.200.727","20.220.317","956.710.498","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44430 - MAICAO","AVICOR INGENIERIA S.A.S ZOMAC","20.200.731","20.220.331","500.000.000","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","C3110 ** Fabricacion de muebles","16"
"44430 - MAICAO","DISTRIBUCIONES D"" VILLA S.A.S","20.200.805","20.220.507","900.578.000","G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","16"
"44001 - RIOHACHA","EVENECER M&C S.A.S.","20.200.806","20.200.806","536.841.291","Q8621 ** Actividades de la practica medica  sin internacion","Q8699 ** Otras actividades de atencion de la salud humana","16"
"44001 - RIOHACHA","TCONTROL S.A.S","20.200.929","20.220.331","571.918.733","M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","16"
"44430 - MAICAO","AUTOPARTES SAMUEL SAS ZESE","20.201.002","20.220.323","2.015.269.000","G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores",,"16"
"44001 - RIOHACHA","COSTA SALUD IPS S.A.S","20.201.009","20.210.329","1.531.704.963","Q8610 ** Actividades de hospitales y clinicas  con internacion","Q8699 ** Otras actividades de atencion de la salud humana","16"
"44430 - MAICAO","IGUARAN PEREZ NEVER JOSE","19.900.524","20.200.313","568.616.297","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata",,"1"
"44098 - DISTRACCION","VEOLIA AGUAS DE LA GUAJIRA S.A.S E.S.P.","20.201.127","20.220.329","22.578.325.000","E3600 ** Captacion  tratamiento y distribucion de agua",,"16"
"44090 - DIBULLA","AITE S.A.S","20.201.128","20.220.328","4.517.277.000","I5511 ** Alojamiento en hoteles","I5611 ** Expendio a la mesa de comidas preparadas","16"
"44001 - RIOHACHA","CONSTRUCTORA VISO S.A.S. ZESE","20.201.203","20.220.525","585.236.513","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados",,"16"
"44001 - RIOHACHA","CONSTRUCTORA GQ S.A.S","20.201.212","20.201.212","500.000.000","F4220 ** Construccion de proyectos de servicio publico","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44279 - FONSECA","AGRICULTURA ORGANICA 5 S.A.S ZOMAC","20.201.223","20.220.331","1.901.207.493","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44420 - LA JAGUA DEL PILAR","PEÑA MATTOS CONSTRUCCIONES S.A.S ZOMAC","20.210.201","20.220.331","4.195.000.000","F4290 ** Construccion de otras obras de ingenieria civil","F4220 ** Construccion de proyectos de servicio publico","16"
"44001 - RIOHACHA","SEGENTEC S.A.S","20.210.203","20.220.322","659.219.503","P8541 ** Educacion tecnica profesional","M7020 ** Actividades de consultoria de gestion","16"
"44430 - MAICAO","MK DISTRIBUCIONES S.AS - ZESE","20.210.304","20.220.331","761.768.776","G4632 ** Comercio al por mayor de bebidas y tabaco","H4923 ** Transporte de carga por carretera","16"
"44090 - DIBULLA","LA CASA DEL PAVO REAL S.A.S","20.210.305","20.220.310","1.213.666.496","I5511 ** Alojamiento en hoteles","I5621 ** Catering para eventos","16"
"44430 - MAICAO","DISTRIBUIDORA JAIMAR SI SAS","20.210.310","20.220.322","675.520.642","G4631 ** Comercio al por mayor de productos alimenticios","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","16"
"44001 - RIOHACHA","INVERSIONES RUIZ SAS","20.210.317","20.220.504","3.793.780.271","I5530 ** Servicio de estancia por horas","I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento","16"
"44078 - BARRANCAS","WILMER JUNIOR GOMEZ BRITO","20.210.426","20.220.405","1.635.775.750","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","F4290 ** Construccion de otras obras de ingenieria civil","1"
"44001 - RIOHACHA","DISTRIBUCIONES GUSTAVO BAQUERO S.A.S ZESE","20.210.509","20.220.328","600.000.100","G4632 ** Comercio al por mayor de bebidas y tabaco","H4923 ** Transporte de carga por carretera","16"
"44279 - FONSECA","JL DISTRIBUCIONES KOF S.A.S. - ZESE","20.210.520","20.220.308","679.240.000","G4632 ** Comercio al por mayor de bebidas y tabaco","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44430 - MAICAO","ADMISALUD GUAJIRA SAS","20.210.521","20.220.331","694.040.419","Q8710 ** Actividades de atencion residencial medicalizada de tipo general","Q8699 ** Otras actividades de atencion de la salud humana","16"
"44001 - RIOHACHA","TRANSROYFE S.A.S","20.210.819","20.220.331","3.862.592.487","H4921 ** Transporte de pasajeros","N7710 ** Alquiler y arrendamiento de vehiculos automotores","16"
"44001 - RIOHACHA","O.C.P. MI GUAJIRA IPS S.A.S","20.210.825","20.220.402","501.000.000","Q8699 ** Otras actividades de atencion de la salud humana","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44847 - URIBIA","GRUPO EMPRESARIAL LOPEZ JIMENEZ S.A.S","20.210.826","20.220.329","2.731.864.322","N7710 ** Alquiler y arrendamiento de vehiculos automotores","G4751 ** Comercio al por menor de productos textiles en establecimientos especializados","16"
"44001 - RIOHACHA","DICERAMICA FERRETERIA S.A.S","20.210.903","20.220.331","2.533.460.000","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","I5511 ** Alojamiento en hoteles","16"
"44001 - RIOHACHA","INGEA CONSTRUCCIONES S.A.S. ZESE","20.211.012","20.220.407","500.000.000","F4290 ** Construccion de otras obras de ingenieria civil","F4220 ** Construccion de proyectos de servicio publico","16"
"44001 - RIOHACHA","RICARDO ARANGO TODO KRIOYO S.A.S ZOMAC","20.211.019","20.220.331","542.033.630","C1011 ** Procesamiento y conservacion de carne y productos carnicos","C1051 ** Elaboracion de productos de molineria","16"
"44001 - RIOHACHA","C&C CONSULTORES & CONSTRUCTORES SAS","20.211.129","20.220.511","1.284.000.000","F4290 ** Construccion de otras obras de ingenieria civil","F4220 ** Construccion de proyectos de servicio publico","16"
"44650 - SAN JUAN DEL CESAR","IMAC S.A.S ZOMAC","20.211.201","20.220.330","849.802.243","M7111 ** Actividades de arquitectura","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","16"
"44001 - RIOHACHA","MEJIA MONROY EDGARDO ENRIQUE","20.211.217","20.220.706","1.753.414.200","B0811 ** Extraccion de piedra  arena  arcillas comunes  yeso y anhidrita","H4923 ** Transporte de carga por carretera","1"
"44001 - RIOHACHA","GRUPO EXOR S.A.S.","20.211.227","20.220.331","1.000.000.000","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","F4220 ** Construccion de proyectos de servicio publico","16"
"44279 - FONSECA","MOVIK LOGISTIC SAS ZOMAC","20.220.117","20.220.324","4.407.469.979","F4210 ** Construccion de carreteras y vias de ferrocarril","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","SPYGA PROYECTOS S.A.S","20.220.217","20.220.513","4.132.542.301","F4290 ** Construccion de otras obras de ingenieria civil","F4112 ** Construccion de edificios no residenciales","16"
"44430 - MAICAO","SURTITODO'S DEL CARIBE SAS","20.220.224","20.220.224","500.000.000","G4631 ** Comercio al por mayor de productos alimenticios","M7020 ** Actividades de consultoria de gestion","16"
"44430 - MAICAO","GONZALEZ RAMIREZ ADANIES DE JESUS","20.220.307","20.220.307","500.000.000","G4665 ** Comercio al por mayor de desperdicios  desechos y chatarra",,"1"
"44430 - MAICAO","BERNAL MARIANA LONDOÑO","20.220.411","20.220.411","746.422.255","H5229 ** Otras actividades complementarias al transporte","I5519 ** Otros tipos de alojamiento para visitantes","1"
"44430 - MAICAO","PEÑARANDA BRITO ADAN ALBERTO","19.900.809","20.220.324","821.358.962","G4731 ** Comercio al por menor de combustible para automotores","H4923 ** Transporte de carga por carretera","1"
"44430 - MAICAO","SER RED S.A","19.901.005","20.220.413","5.742.460.000","R9200 ** Actividades de juegos de azar y apuestas",,"4"
"44001 - RIOHACHA","COMPAÑIA DE SERVICIOS GENERALES DEL CARIBE LIMITADA","19.910.419","20.220.331","1.749.814.000","N7830 ** Otras actividades de provisión de talento humano","N8129 ** Otras actividades de limpieza de edificios e instalaciones industriales","3"
"44001 - RIOHACHA","SAURITH NIETO VICTOR ELIAS","19.911.128","20.220.324","1.274.395.000","G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","1"
"44001 - RIOHACHA","DAMXPRESS S.A.S","19.920.114","20.220.331","1.356.920.641","H4921 ** Transporte de pasajeros",,"16"
"44430 - MAICAO","CENTRAMA","19.911.206","20.220.309","6.289.713.145","H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre",,"4"
"44001 - RIOHACHA","JOSE A. RODRIGUEZ C. E HIJOS","19.920.113","20.220.330","5.743.107.610","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion",,"5"
"44001 - RIOHACHA","GRETA LUCELIS DELUQUE CASTRO","19.920.528","20.220.325","1.331.435.493","I5611 ** Expendio a la mesa de comidas preparadas","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","1"
"44001 - RIOHACHA","MARES DE COLOMBIA S.A.","19.920.715","20.220.331","588.774.000","A0311 ** Pesca maritima","A0312 ** Pesca de agua dulce","4"
"44001 - RIOHACHA","INVERSIONES HEREDIA E HIJOS S.A.S","19.920.728","20.220.606","762.237.900","N8211 ** Actividades combinadas de servicios administrativos de oficina","P8560 ** Actividades de apoyo a la educacion","16"
"44001 - RIOHACHA","MOSCOTE AMAYA AVELINO ANTONIO","19.920.910","20.220.331","1.416.000.000","G4731 ** Comercio al por menor de combustible para automotores","A0150 ** Explotacion mixta (agricola y pecuaria)","1"
"44001 - RIOHACHA","CLINICA DE LA PENINSULA LTDA.","20.070.815","20.200.930","3.447.990.641","Q8699 ** Otras actividades de atencion de la salud humana",,"3"
"44001 - RIOHACHA","LISANDRO GOMEZ CASTRO Y CIA. S. EN C.","19.930.318","20.220.330","5.146.538.406","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","I5511 ** Alojamiento en hoteles","6"
"44001 - RIOHACHA","MACDANIEL CONSTRUCCIONES Y PROYECTOS  S.A.S","19.930.402","20.210.930","3.632.098.000","F4112 ** Construccion de edificios no residenciales","M7110 ** Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica","16"
"44001 - RIOHACHA","TRANSFOX S.A.S","19.770.802","20.220.330","680.743.500","H4921 ** Transporte de pasajeros","H4923 ** Transporte de carga por carretera","16"
"44035 - ALBANIA","LUNA HERMANOS MECANICOS ASOCIADOS LIMITADA","19.930.906","20.220.701","1.034.875.650","G4520 ** Mantenimiento y reparacion de vehiculos automotores","C2511 ** Fabricacion de productos metalicos para uso estructural","3"
"44430 - MAICAO","BRITO MARTINEZ EUCLIDES RAFAEL","19.940.211","20.220.207","1.700.000.000","K6615 ** Actividades de los profesionales de compra y venta de divisas","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","1"
