"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44001 - RIOHACHA","VARIEDADES Y DISTRIBUCIONES GRUPO EL SURTIDOR VDGS S.A.S.","20.110.516","20.220.331","8.934.123.000","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco","16"
"44001 - RIOHACHA","IP`SAN S.A.S.","20.110.530","20.220.330","1.379.441.391","M7111 ** Actividades de arquitectura","N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.","16"
"44430 - MAICAO","INVERSIONES BARATILLO TIERRA SANTA SAS","20.110.601","20.220.330","3.058.687.032","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","G4751 ** Comercio al por menor de productos textiles en establecimientos especializados","16"
"44650 - SAN JUAN DEL CESAR","INVERSIONES ROKA S.A.S","20.110.629","20.220.426","1.864.759.000","M7010 ** Actividades de administracion empresarial","M7020 ** Actividades de consultoria de gestion","16"
"44001 - RIOHACHA","FAMILIA MARTINEZ ROMERO S.A.S.","20.110.711","20.210.830","502.797.814","A0311 ** Pesca maritima","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44430 - MAICAO","COMERCIALIZADORA VENECOL S.A.S EN LIQUIDACION","20.110.711","20.150.326","3.616.800.000","G4631 ** Comercio al por mayor de productos alimenticios","G4632 ** Comercio al por mayor de bebidas y tabaco","16"
"44001 - RIOHACHA","RIBAI S.A.S","20.110.721","20.220.331","4.927.527.014","I5511 ** Alojamiento en hoteles",,"16"
"44001 - RIOHACHA","MINERIA CONSTRUCCIONES Y EQUIPOS SOCIEDAD POR ACCION SIMPLIFICADAS","20.110.810","20.220.330","4.473.507.154","F4210 ** Construccion de carreteras y vias de ferrocarril","F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil","16"
"44430 - MAICAO","DISTRIBUIDORA DE POLLOS DAVID.OG S.A.S","20.110.824","20.220.609","3.263.264.071","G4631 ** Comercio al por mayor de productos alimenticios","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44001 - RIOHACHA","RC INVERSIONES Y COMERCIO S.A.S.","20.110.921","20.220.422","1.975.083.000","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion",,"16"
"44279 - FONSECA","SOINTER LTDA","20.110.922","20.220.216","1.465.654.687","M7020 ** Actividades de consultoria de gestion","M7010 ** Actividades de administracion empresarial","3"
"44001 - RIOHACHA","INVERSIONES TIERRA GUAJIRA S.A.S.","20.120.101","20.220.330","1.572.625.000","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados",,"16"
"44001 - RIOHACHA","CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S.","20.110.926","20.220.324","10.896.569.566","Q8621 ** Actividades de la practica medica  sin internacion","Q8691 ** Actividades de apoyo diagnostico","16"
"44430 - MAICAO","PASION GUAJIRA S.A.S.","20.110.927","20.220.401","14.950.028.684","C1392 ** Confeccion de articulos con materiales textiles  excepto prendas de vestir","C1410 ** Confeccion de prendas de vestir  excepto prendas de piel","16"
"44279 - FONSECA","COMERCIO Y CONTRATOS DEL CARIBE S.A.S.","20.110.927","20.220.221","1.307.751.620","F4290 ** Construccion de otras obras de ingenieria civil","G4731 ** Comercio al por menor de combustible para automotores","16"
"44001 - RIOHACHA","FRANCO AVILA INGENIERIA S.A.S","20.111.028","20.220.407","1.147.421.221","F4290 ** Construccion de otras obras de ingenieria civil","J6120 ** Actividades de telecomunicaciones inalambricas","16"
"44430 - MAICAO","AUTO ORIENTAL SAS","20.111.110","20.220.330","8.238.619.511","G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores",,"16"
"44001 - RIOHACHA","INVERSIONES COTES-PACHECO INGNUVARQ S.A.S.","20.111.122","20.220.527","5.036.080.250","F4290 ** Construccion de otras obras de ingenieria civil","F4111 ** Construccion de edificios residenciales","16"
"44078 - BARRANCAS","GYMCOL S.A.S","20.111.205","20.220.331","1.121.548.692","F4210 ** Construccion de carreteras y vias de ferrocarril","F4112 ** Construccion de edificios no residenciales","16"
"44847 - URIBIA","RAZU REYNA BLANCA S.A.S","20.111.228","20.220.331","2.294.520.222","G4664 ** Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario","B0892 ** Extraccion de halita (sal)","16"
"44847 - URIBIA","UNIDAD MATERNO INFANTIL TALAPUIN S.A.S.","20.120.117","20.220.325","5.579.496.000","Q8610 ** Actividades de hospitales y clinicas  con internacion",,"16"
"44001 - RIOHACHA","INGENIARQ MS S.A.S.","20.120.210","20.220.408","642.473.974","F4290 ** Construccion de otras obras de ingenieria civil","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","16"
"44001 - RIOHACHA","SOLUCIONES ENERGETICAS RURALES S.A.S.","20.110.213","20.220.404","1.351.145.243","G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","G4690 ** Comercio al por mayor no especializado","16"
"44001 - RIOHACHA","MEDEC S.A.S ( MEDICINA ESPECIALIZADA DE LA COSTA SOCIEDAD POR ACCIONES SIMPLIFICADAS)","20.120.217","20.191.002","780.000.000","Q8610 ** Actividades de hospitales y clinicas  con internacion","Q8699 ** Otras actividades de atencion de la salud humana","16"
"44035 - ALBANIA","JOIRO FRAGOZO DELIA CRISTINA","20.120.224","20.220.331","836.963.068","G4731 ** Comercio al por menor de combustible para automotores","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","1"
