"Establecimiento","Barrio_Domicilio","Ubicacion_Domicilio","Tipo_Comercio","Medios_Pago"
"Castimotos","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Bici motos ofmega","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Almacén y taller de motos el dorado","El Triángulo","Local","Formal","Efectivo, Billeteras Digitales"
"Metálicas y estructuras jkmyc urrego","La Shell","Local","Formal","Efectivo"
"Kano motos taller","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Taller chucho motos","Triangulo","Local","Formal","Efectivo, Billeteras Digitales"
"Tacos del chef colombiano","La Carolina","Local","Formal","Efectivo, Billeteras Digitales"
"Andrey Castilla","Pradera","Local","Formal","Efectivo, Billeteras Digitales"
"Bets online","La Shell","Local","Informal","Efectivo, Billeteras Digitales"
"Cafetería stefanny","El Triángulo","Local","Informal","Efectivo, Billeteras Digitales"
"El domicilio","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"El Rincon","La Gabrielina","Vivienda","Informal","Efectivo"
"Esmeralda Shell","La Gabrielina","Vivienda","Informal","Efectivo"
"Juana","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Mini Mercado riva","La Shell","Vivienda","Formal","Efectivo"
"Ok Bueno Lopez","La Gabrielina","Vivienda","Formal","Efectivo"
"Tienda de abarrotes Ana","Centro","Vivienda","Formal","Efectivo"
"Tienda donde Beti","El Paraíso","Vivienda","Informal","Efectivo"
"Tienda el centro","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Tienda el triángulo J","Triangulo","Vivienda","Formal","Efectivo"
"Tienda la abuela","La Gabrielina","Vivienda","Informal","Efectivo"
"Tienda la economía","La Shell","Vivienda","Formal","Efectivo"
"Tienda la esquina","Palo Marcado","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Tienda lucí de Castilla","La Shell","Vivienda","Formal","Efectivo"
"Tienda Maria o","Carolina","Vivienda","Formal","Efectivo"
"Tienda Marial","La Shell","Local","Formal","Efectivo"
"Tienda naturista shalom","Centro","Local","Formal","Efectivo, Tarjeta Crédito"
"Tienda rubielita","Palo Marcado","Vivienda","Informal","Efectivo"
"Tienda supervariedades Joker","El Paraíso","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Camellia flowers","La Carolina","Local","Formal","Efectivo, Billeteras Digitales"
"Variedades san Valentín","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Shalom","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Diana","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Mega descuentos","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Remates Elizabeth","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Todo a 5.000 y 10.000","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Tornillería peugeot","Centro","Local","Formal","Efectivo"
"Extintores leidy","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Punto saludable","La Gabrielina","Otro","Informal","Efectivo, Billeteras Digitales"
"Sin nombre","Altos de San José","Vivienda","Informal","Efectivo, Billeteras Digitales"
"JJ vidrios y aluminios","Triangulo","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Viejoteca","La Shell","Local","Informal","Efectivo"
"Comercializadora Ramirez","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"La Economia","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"La stación beer","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Agro finca del llana","Centro","Local","Formal","Efectivo"
"Tecniservicios jj","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Deliarepas del llano","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Droguería farma azul NA","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Droguería la castellana wf","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Óptica salud visual","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Cerrajería el centro","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Asadero y restaurante","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales"
"D1 Sas","Centro","Bodega","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Remate Diana","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales"
"Merca Fruver","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Jennifer masmela nails spa","Centro","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Tiendas de ropa Diana","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales"
"Tienda doña Rosa","Olga Lucia","Vivienda","Informal","Efectivo"
"Depósito Galindo Castilla","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales"
"Las delicias de yoli","Santa Teresa","Local","Formal","Efectivo, Billeteras Digitales"
"NT","Villa Checop","Vivienda","Informal","Efectivo"
"Derretido Castilla SAS","Villa Teresa","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Danepan","Villa Checop","Local","Formal","Efectivo, Billeteras Digitales"
"Caseta cancha de fútbol","Villa Checop","Otro","Informal","Efectivo"
"Lechoneria gordo opita","Villa Checop","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Venta de platano","Villa Checop","Vivienda","Informal","Efectivo"
"Zareth restaurante","Villa Checop","Local","Formal","Efectivo, Billeteras Digitales"
"Restaurante la mona","Villa Checop","Local","Informal","Efectivo, Billeteras Digitales"
"El sabor de la merienda","Villa Checop","Local","Informal","Efectivo"
"No","Villa Checop","Vivienda","Informal","Efectivo"
"Droguería salud y amor","Villa Checop","Local","Informal","Efectivo"
"Electro muebles Daniels","Centro Poblado San Lorenzo","Vivienda","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito"
"Internet y papelería cibercarlos","Las Acacias","Local","Formal","Efectivo"
"Billar y bar BARU","Las Acacias","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Almaceen y Taller WD","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Tienda san Lorenzo R","Centro","Local","Informal","Efectivo"
"Dicho bar mous","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Bar Blues JT","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Concentrado ganaderos san Lorenzo","Centro","Bodega","Informal","Efectivo, Billeteras Digitales"
"Concentrados economarket","Centro Poblado San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Barbería k&k","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Variedades Sofi","San José de San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Lucy Farma","Barrio Villa Milena San Lorenzo","Local","Formal","Efectivo, Billeteras Digitales"
"Comunicaciones Mejía","San José","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
